1615001400000,48647.37000000,48700.00000000,48350.00000000,48550.05000000,431.57899600,1615002299999,20939338.81195673,14440,202.85940400,9844999.85980945,0
1615002300000,48548.01000000,48801.81000000,48522.81000000,48657.72000000,386.86167700,1615003199999,18824775.36299935,9916,188.01314700,9149831.59224274,0
1615003200000,48657.72000000,48687.49000000,48277.79000000,48453.32000000,400.81387200,1615004099999,19409159.10634341,15514,188.51144000,9129679.55409289,0
1615004100000,48458.23000000,48466.50000000,48115.83000000,48262.35000000,596.74079400,1615004999999,28785135.12866889,18632,289.38354700,13959025.32661917,0
1615005000000,48262.35000000,48384.36000000,48223.19000000,48238.82000000,345.26061900,1615005899999,16676467.90405862,14702,165.66190500,8002141.75877234,0
1615005900000,48238.81000000,48519.71000000,48185.52000000,48451.16000000,383.92877500,1615006799999,18575323.26510656,16569,194.92107500,9430326.31004263,0
1615006800000,48450.12000000,48550.00000000,48193.00000000,48241.80000000,267.09675700,1615007699999,12919425.27939562,12030,128.56852500,6219606.47096911,0
1615007700000,48241.80000000,48507.50000000,48219.81000000,48428.68000000,241.35803400,1615008599999,11678551.78403735,12063,114.71537900,5550804.19813932,0
1615008600000,48428.69000000,48895.32000000,48425.46000000,48713.30000000,668.29179400,1615009499999,32535102.89668161,19806,342.90712200,16694575.78472973,0
1615009500000,48711.38000000,48715.00000000,48443.52000000,48496.28000000,477.01284900,1615010399999,23174321.60720605,16498,211.80155600,10290355.77601241,0
1615010400000,48496.27000000,48850.00000000,48482.17000000,48739.99000000,761.11434500,1615011299999,37075268.38496455,14463,354.19514800,17246031.61918700,0
1615011300000,48739.99000000,48971.29000000,48739.99000000,48823.57000000,411.79843800,1615012199999,20129359.29222446,12859,183.78414700,8983914.41414240,0
1615012200000,48823.56000000,48883.09000000,48714.79000000,48827.17000000,340.10052500,1615013099999,16596969.71159924,10031,155.97479700,7611975.23533731,0
1615013100000,48825.65000000,48940.90000000,48824.00000000,48922.00000000,241.05864700,1615013999999,11787718.15304391,7848,120.35766600,5885485.76923027,0
1615014000000,48922.00000000,48978.74000000,48772.24000000,48841.66000000,306.31995600,1615014899999,14968039.70448378,8880,137.46858500,6717850.37102986,0
1615014900000,48841.67000000,49117.32000000,48841.66000000,49050.00000000,676.39160300,1615015799999,33143206.12078118,14543,400.98687000,19648858.78032957,0
1615015800000,49050.00000000,49050.01000000,48931.90000000,48945.15000000,296.45232600,1615016699999,14521129.91218612,9500,141.92459200,6951908.07698632,0
1615016700000,48945.16000000,49023.40000000,48796.50000000,48820.12000000,368.01725700,1615017599999,18004119.90248757,11447,147.62814100,7222758.84630770,0
1615017600000,48820.13000000,49100.00000000,48807.19000000,48872.16000000,587.47568200,1615018499999,28755531.43042922,27396,291.71309200,14280716.52234702,0
1615018500000,48872.17000000,49050.81000000,48850.00000000,48850.00000000,717.29364300,1615019399999,35116942.74716429,23203,309.21569000,15140285.68295226,0
1615019400000,48850.01000000,48995.73000000,48605.17000000,48714.75000000,499.93840900,1615020299999,24412423.20023119,22949,229.10750800,11193802.04430212,0
1615020300000,48714.76000000,48820.00000000,48600.00000000,48641.64000000,429.21485300,1615021199999,20904960.97512059,20544,189.15866900,9215583.02278760,0
1615021200000,48641.65000000,48785.00000000,48580.09000000,48670.01000000,359.27962700,1615022099999,17488066.86915447,10748,210.28995700,10236237.25350316,0
1615022100000,48670.00000000,48761.64000000,48371.24000000,48465.15000000,572.60071200,1615022999999,27809596.81928362,13501,273.12041700,13269975.23675156,0
1615023000000,48465.15000000,48563.92000000,48300.18000000,48369.59000000,490.72938900,1615023899999,23753946.19219747,12590,247.81360400,11994637.92166873,0
1615023900000,48369.59000000,48423.73000000,48270.01000000,48335.10000000,460.26785100,1615024799999,22256125.87776897,12019,236.91017200,11455333.04330589,0
1615024800000,48335.22000000,48499.99000000,48270.45000000,48345.81000000,451.90396700,1615025699999,21871885.04401700,18948,242.31165700,11727978.39180097,0
1615025700000,48345.81000000,48400.00000000,48227.84000000,48336.76000000,315.69609700,1615026599999,15251498.74344200,19213,140.27487900,6777080.67229422,0
1615026600000,48336.75000000,48399.71000000,48247.97000000,48320.83000000,256.66961600,1615027499999,12399884.28404149,18265,114.38649400,5526426.22526437,0
1615027500000,48320.82000000,48320.82000000,48000.00000000,48035.36000000,1130.68680200,1615028399999,54342949.94061141,29584,302.36298400,14542739.04166601,0
1615028400000,48035.37000000,48279.99000000,48000.00000000,48138.68000000,418.01631100,1615029299999,20126188.76595151,17887,212.96489200,10255158.19579866,0
1615029300000,48136.74000000,48245.94000000,48050.00000000,48157.85000000,287.23372700,1615030199999,13831860.53246572,16458,140.68807400,6775153.51471507,0
1615030200000,48157.49000000,48242.77000000,48080.67000000,48142.25000000,320.90691600,1615031099999,15459376.12546674,15000,182.18951800,8778557.31470711,0
1615031100000,48140.02000000,48331.91000000,48120.83000000,48171.01000000,376.05867300,1615031999999,18138707.27487257,15695,184.22724900,8885942.67662912,0
1615032000000,48171.02000000,48212.85000000,47589.20000000,47709.55000000,1229.19610300,1615032899999,58823543.24631576,34328,458.09429200,21906721.30365598,0
1615032900000,47722.16000000,47769.22000000,47521.01000000,47661.37000000,856.52101100,1615033799999,40794728.55426741,28392,447.00658600,21290741.29445386,0
1615033800000,47661.37000000,47853.85000000,47578.45000000,47775.80000000,501.49383700,1615034699999,23927601.82840316,19731,271.17537400,12937164.83913423,0
1615034700000,47775.79000000,47775.79000000,47401.82000000,47660.74000000,709.42711000,1615035599999,33768391.78962417,24663,324.03090900,15423658.87776903,0
